43211503,Notebook computers,0
43211507,Desktop computers,0
43211601,Computer switch boxes,0
43211603,Port replicators,0
43211605,Signal processor upgrades,0
43211606,Multimedia kits,0
43211610,Computer country or localization kits,0
43211611,Handheld PDA Starter Kits,0
43211612,Computer accessory kits,0
43211613,Computer or notebook stands,0
43211701,Bar code reader equipment,0
43211702,Magnetic stripe readers and encoders,0
43211704,Currency recognition equipment,0
43211707,Light stylus,0
43211709,Pressure stylus,0
43211710,Radio frequency identification devices,0
43211713,Touch pads,0
43211714,Biometric identification equipment,0
43211715,Portable data input terminals,0
43211717,Optical character recognition systems,0
43211718,Camera based vision systems for automated data collection,0
43211719,Voice microphones for computers,0
43211720,Point of sale payment terminal,0
43211721,Punch card readers,0
43211722,Business card scanner,0
43211801,Computer data input device covers,0
43211802,Mouse pads,0
43211803,Key board skins,0
43211805,Service kits for storage devices,0
43211901,Cathode ray tube CRT monitors,0
43211903,Touch screen monitors,0
43211904,Plasma display panels PDP,0
43211905,Organic light emitting displays,0
43211906,Character displays,0
43211907,Head mounted displays,0
43212102,Dot matrix printers,0
43212104,Inkjet printers,0
43212106,Line matrix printers,0
43212108,Thermal tape printers,0
43212110,Multi function printers,0
43212114,Digital image printers,0
-- 43212113,Compact disc CD or labeling printers,8
-- 43212001,Computer display glare screens,12
43211804,Keyboard drawers or shelves,15
43211902,Liquid crystal display LCD panels or monitors,15
43212105,Laser printers,15
-- 43211506,Thin client computers,21
-- 43211609,Universal serial bus hubs or connectors,21
-- 43211608,Encoder decoder equipment,25
-- 43211712,Graphics tablets,25
-- 432120,Computer display accessories,32
-- 43211509,Tablet computers,37
-- 43211508,Personal computers,47
-- 43211708,Computer mouse or trackballs,48
-- 43211604,Peripheral switch boxes,56
-- 432119,Computer displays,64
-- 43211607,Computer speakers,66
-- 43211501,Computer servers,75
-- 43211511,Wearable computing devices,77
-- 432117,Computer data input devices,79
-- 432118,Computer data input device accessories,81
-- 43212103,Dye sublimination printers,86
-- 43211602,Docking stations,87
-- 43211711,Scanners,107
-- 432121,Computer printers,108
-- 43211706,Keyboards,119
-- 432115,Computers,120
-- 43211705,Game pads or joy sticks,133
-- 432116,Computer accessories,260
